n,k_rate,tau_motor,tau_intensity,k_motor,kf_intensity,kb_intensity,fgain_intensity_grid,gain_motor_grid,k_rate_grid,tau_motor_grid,tau_intensity_grid,kb_kf_intensity_ratio_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
79,231.1044,0.8637,0.1278,0.016556674771332637,291.24100156494524,0.8009127543035993,37.2206,0.0143,231.1044,0.8637,0.1278,0.00275,1.524013729010084,0.18085620163994637,6.135990085527181,0.26654129065909676,1.3070603981044755,5.280910925547823,29,29
80,231.1044,0.8637,0.1394,0.016556674771332637,267.0057388809182,0.0,37.2206,0.0143,231.1044,0.8637,0.1394,0.0,1.4120633236777103,0.17339240142899454,6.266874185222084,0.2631420444960489,1.268697237486396,5.0413215462874374,29,29
81,231.1044,0.8637,0.1394,0.016556674771332637,267.0057388809182,0.18369994835007172,37.2206,0.0143,231.1044,0.8637,0.1394,0.000688,1.4143213242258013,0.17385234529676072,6.255888829354942,0.26620169254113346,1.2750174192631476,5.071938992127044,29,29
82,231.1044,0.8637,0.1394,0.016556674771332637,267.0057388809182,0.36713289096126256,37.2206,0.0143,231.1044,0.8637,0.1394,0.001375,1.4229791094577706,0.17429928441841383,6.261958963977759,0.26500939944749746,1.2760318813448475,5.079203810131716,29,29
83,231.1044,0.8637,0.1394,0.016556674771332637,267.0057388809182,0.5500318220946916,37.2206,0.0143,231.1044,0.8637,0.1394,0.00206,1.4295253826196919,0.17493751089527368,6.255285933647748,0.2643971529563243,1.277232181713437,5.09238679260833,29,29
84,231.1044,0.8637,0.1394,0.016556674771332637,267.0057388809182,0.7342657819225251,37.2206,0.0143,231.1044,0.8637,0.1394,0.00275,1.4430354610752372,0.17642527204494257,6.272433898512087,0.26618166921368647,1.283972127359864,5.125741895410315,29,29
85,231.1044,0.8637,0.152,0.016556674771332637,244.8723684210526,0.0,37.2206,0.0143,231.1044,0.8637,0.152,0.0,1.3254395295068673,0.16866430158222875,6.360458291850157,0.2646358382605036,1.2422697424940785,4.871981141891823,29,29
86,231.1044,0.8637,0.152,0.016556674771332637,244.8723684210526,0.1684721894736842,37.2206,0.0143,231.1044,0.8637,0.152,0.000688,1.3345646339332211,0.1695696949067284,6.36900333566748,0.26398672528135414,1.242319261881343,4.8761946685747,29,29
87,231.1044,0.8637,0.152,0.016556674771332637,244.8723684210526,0.33669950657894737,37.2206,0.0143,231.1044,0.8637,0.152,0.001375,1.3418273429053467,0.1699005169613411,6.364554774059099,0.2646997754864623,1.2460554632877001,4.898539513761002,29,29
88,231.1044,0.8637,0.152,0.016556674771332637,244.8723684210526,0.5044370789473684,37.2206,0.0143,231.1044,0.8637,0.152,0.00206,1.346979160645317,0.17060735623457335,6.350533244346811,0.2629406156678113,1.2454005600890354,4.8996488818963595,29,29
