n,k_rate,tau_motor,tau_intensity,k_motor,k_intensity,gain_intensity_grid,gain_motor_grid,k_rate_grid,tau_motor_grid,tau_intensity_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
53,772.934,0.2901,0.026,0.08790072388831437,812.4038461538462,21.1225,0.0255,772.934,0.2901,0.026,2.0787955479505213,0.25405439330703766,10.216382939893537,0.5261870530815086,2.0874546086697503,8.20749836350866,29,29
54,772.934,0.2901,0.0283,0.08790072388831437,746.3780918727915,21.1225,0.0255,772.934,0.2901,0.0283,2.151633547660136,0.2642264360314893,10.432049309730209,0.5625678654313001,2.3537827957689244,9.250944813779935,29,29
55,772.934,0.3164,0.02,0.08059418457648546,1056.125,21.1225,0.0255,772.934,0.3164,0.02,1.886823465532823,0.2347811794773165,9.355231385186308,0.4451208070107922,1.8397189636801368,7.465261168097092,29,29
56,772.934,0.3164,0.0218,0.08059418457648546,968.9220183486239,21.1225,0.0255,772.934,0.3164,0.0218,1.912780417878873,0.23629747609661783,9.606460574699092,0.4586002152650768,1.875335400399939,7.528032487370176,29,29
57,772.934,0.3164,0.0238,0.08059418457648546,887.4999999999999,21.1225,0.0255,772.934,0.3164,0.0238,1.9686659017929868,0.24043821608586569,9.874135338682514,0.47873472554255647,1.9290070032116067,7.666921669261129,29,29
58,772.934,0.3164,0.026,0.08059418457648546,812.4038461538462,21.1225,0.0255,772.934,0.3164,0.026,2.0425908029743627,0.2491012137215654,10.12730342582501,0.5025156714133433,2.0278538767126504,7.98418626379994,29,29
59,772.934,0.3164,0.0283,0.08059418457648546,746.3780918727915,21.1225,0.0255,772.934,0.3164,0.0283,2.107709470903541,0.2574304677504879,10.367058657208677,0.5377396572408479,2.2608264294713782,8.868974072877569,29,29
60,772.934,0.345,0.02,0.07391304347826087,1056.125,21.1225,0.0255,772.934,0.345,0.02,1.8377654396140457,0.2307844803724016,9.222641386387217,0.4207802417243976,1.7817225133498271,7.232157299281255,29,29
61,772.934,0.345,0.0218,0.07391304347826087,968.9220183486239,21.1225,0.0255,772.934,0.345,0.0218,1.879430229779113,0.23431860269472002,9.4915814846281,0.43488916008686007,1.827197110879066,7.343667262758018,29,29
62,772.934,0.345,0.0238,0.07391304347826087,887.4999999999999,21.1225,0.0255,772.934,0.345,0.0238,1.946003276946381,0.2371484739291544,9.739861071136843,0.45254871662409313,1.887330811027449,7.5138152852086195,29,29
63,772.934,0.345,0.026,0.07391304347826087,812.4038461538462,21.1225,0.0255,772.934,0.345,0.026,2.0065753486157907,0.24425267853574123,10.01767947988131,0.4781900641995568,1.9710660828484499,7.763708991011081,29,29
64,772.934,0.345,0.0283,0.07391304347826087,746.3780918727915,21.1225,0.0255,772.934,0.345,0.0283,2.072601275526312,0.2534328500514226,10.29742504919282,0.5136527672354348,2.134884465096246,8.369191723363327,29,29
65,772.934,0.3762,0.02,0.06778309409888357,1056.125,21.1225,0.0255,772.934,0.3762,0.02,1.808562504055027,0.2284701193818514,9.132956908086529,0.3965951968104126,1.7242113166609043,7.005997118063981,29,29
66,772.934,0.3762,0.0218,0.06778309409888357,968.9220183486239,21.1225,0.0255,772.934,0.3762,0.0218,1.8331279585808902,0.2293285731420992,9.358348663572748,0.4109078414154816,1.7727512971596513,7.123458908768636,29,29
67,772.934,0.3762,0.0238,0.06778309409888357,887.4999999999999,21.1225,0.0255,772.934,0.3762,0.0238,1.9137254959391288,0.23529976836892558,9.648428628221936,0.429210322512327,1.842553939557546,7.341096023832707,29,29
