n,tau,tau_motor,k_rate,k_motor,gain_rate_grid,tau_grid,gain_motor_grid,tau_motor_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
103,0.16,0.158,4419.41875,0.20253164556962025,707.107,0.16,0.032,0.158,3.691060104987258,0.4002239464313403,11.871705677178868,0.7580454657356219,0.43748349637060324,0.5680147680533576,29,29
104,0.16,0.224,4419.41875,0.14285714285714285,707.107,0.16,0.032,0.224,4.102764699382432,0.4480990850772469,13.157076133914112,0.8345876383718888,0.4691985805964675,0.5680147680533576,29,29
105,0.16,0.056,4419.41875,0.8035714285714285,707.107,0.16,0.045,0.056,3.715611731829215,0.39736902102844374,11.623193012095447,0.7546989416006379,0.43546611486409126,0.5680147680533576,29,29
106,0.16,0.079,4419.41875,0.5696202531645569,707.107,0.16,0.045,0.079,3.7696098515212135,0.4013879395435514,11.775132922526657,0.7673821338604556,0.44015807639917476,0.5680147680533576,29,29
107,0.16,0.112,4419.41875,0.40178571428571425,707.107,0.16,0.045,0.112,3.9012569142127225,0.4202046255362086,12.246100356025321,0.7909344528005785,0.4508980877821289,0.5680147680533576,29,29
108,0.16,0.158,4419.41875,0.28481012658227844,707.107,0.16,0.045,0.158,4.1252052786748745,0.44752077238343435,12.982147484323773,0.8311514334351955,0.4708069315916263,0.5680147680533576,29,29
109,0.16,0.224,4419.41875,0.20089285714285712,707.107,0.16,0.045,0.224,4.438370885619408,0.492916619800763,14.269618470737802,0.8994159696309297,0.5014445399413384,0.5680147680533572,29,29
110,0.16,0.056,4419.41875,1.1428571428571428,707.107,0.16,0.064,0.056,4.0607366537516665,0.4379481084223471,12.124223292001883,0.8109329042800135,0.47120589488711484,0.5680147680533576,29,29
111,0.16,0.079,4419.41875,0.810126582278481,707.107,0.16,0.064,0.079,4.106547316947365,0.44602872203383737,12.502483993538867,0.8243225826229973,0.4754998165291587,0.5680147680533576,29,29
112,0.16,0.112,4419.41875,0.5714285714285714,707.107,0.16,0.064,0.112,4.220333695969565,0.46478978047547875,12.996754777963755,0.8472286981402645,0.4855936959425809,0.5680147680533572,29,29
113,0.16,0.158,4419.41875,0.4050632911392405,707.107,0.16,0.064,0.158,4.409574802178393,0.4903437928976219,13.676458792053628,0.8887083465196312,0.5060632981346956,0.5680147680533572,29,29
114,0.16,0.224,4419.41875,0.2857142857142857,707.107,0.16,0.064,0.224,4.834260840285943,0.5379762052805003,15.227494979900548,0.9591563689837912,0.5314026778613795,0.5680147680533572,29,29
115,0.16,0.056,4419.41875,1.625,707.107,0.16,0.091,0.056,4.341160231349649,0.47728934565508335,12.477846914394766,0.8547420617468209,0.5178187744511475,0.5680147680533572,29,29
116,0.16,0.079,4419.41875,1.1518987341772151,707.107,0.16,0.091,0.079,4.414957337701223,0.4861397894494749,12.864229448165386,0.8714278842176789,0.5210642794188401,0.5680147680533572,29,29
117,0.16,0.112,4419.41875,0.8125,707.107,0.16,0.091,0.112,4.461175653226997,0.4977321922476211,13.475422013685385,0.8967172330440457,0.5269880568688452,0.5680147680533572,29,29
118,0.16,0.158,4419.41875,0.5759493670886076,707.107,0.16,0.091,0.158,4.724981217022073,0.5256390313240671,14.49775604542614,0.9388327528374417,0.5322568273338636,0.5680147680533572,29,29
